#{"t_start": 1764683795.068128, "env_id": "None"}
r,l,t
41.869252,450,42.246337
-43.551777,450,89.664654
204.685455,450,128.13741
104.240563,197,147.298373
200.410455,450,188.66046
62.730563,39,197.849914
-92.599719,450,237.284433
141.275563,288,263.149077
183.100455,450,301.88824
57.670563,71,314.747337
114.450563,193,335.15993
187.865455,450,377.174311
67.660281,450,416.499086
82.630563,75,426.843112
-99.557686,450,469.370366
125.030563,399,506.062299
58.000563,57,516.116436
37.645563,245,542.87843
-92.529719,450,584.053057
52.050563,93,597.825902
199.010455,450,637.878857
87.435563,132,654.071966
204.510563,333,688.023146
118.695455,450,733.035642
100.830563,141,749.2325
62.836634,450,785.677166
172.365563,428,820.704014
106.593354,450,857.973191
160.590563,245,880.81754
199.393354,450,917.715516
82.399252,450,960.821858
44.785563,122,974.253667
65.985563,168,988.820421
203.890455,450,1024.982707
60.100563,57,1034.79929
177.305455,450,1073.143985
160.923354,450,1112.026299
161.460563,291,1139.864381
64.520455,450,1176.053621
81.845563,116,1192.707499
179.113354,450,1233.539632
42.448354,450,1275.211672
199.443354,450,1318.241828
106.625563,134,1336.367189
185.770563,403,1376.191026
151.823354,450,1412.97834
187.070563,325,1447.774093
186.580563,319,1475.204782
57.365563,66,1485.698535
-81.684719,450,1524.790391
-94.756195,450,1563.037445
62.330563,47,1572.015901
-1.244545,450,1607.73523
26.260563,209,1627.640533
113.340455,450,1672.110654
8.005563,408,1707.664482
22.230563,425,1750.371047
55.645563,74,1763.561059
143.953223,450,1800.684789
-96.183366,450,1843.508877
137.765563,194,1863.798985
67.335563,194,1886.929744
189.378467,450,1924.03458
60.595563,180,1945.869272
117.550563,147,1964.580561
145.450563,275,1991.243619
89.925563,268,2015.38479
158.455563,256,2039.77571
94.035563,96,2052.799687
28.660563,229,2074.103421
138.550563,257,2100.274831
52.225563,374,2134.998631
166.493354,450,2173.675728
142.085563,266,2197.244812
169.355563,340,2228.421349
75.143354,450,2263.340714
-86.886195,450,2303.193302
87.265563,98,2316.581302
131.795563,296,2347.716115
107.150563,131,2361.992332
42.863354,450,2399.959495
47.360563,111,2410.286392
84.100563,131,2424.895404
-47.574719,450,2462.108078
150.765455,450,2502.084669
118.135563,188,2522.241683
99.558354,450,2565.497329
-41.556158,450,2609.791815
163.778354,450,2653.938689
20.760563,227,2673.755572
166.818354,450,2707.73361
46.220281,450,2746.638264
80.360563,195,2765.617869
129.080563,183,2784.981477
217.605563,394,2819.751394
169.510563,263,2844.624661
113.405563,156,2862.284925
72.665563,386,2893.198326
89.085563,202,2916.005891
98.945281,450,2952.766152
163.468395,450,2986.223155
161.545563,320,3015.596919
-7.921158,450,3055.725835
65.265563,62,3066.726964
97.975563,262,3092.768487
130.750563,257,3118.869648
41.143805,450,3160.383182
199.005455,450,3200.251759
154.865563,280,3222.984179
182.905563,292,3249.818966
161.510563,425,3287.204465
155.463354,450,3327.023201
108.840563,217,3350.412349
192.140563,413,3381.828804
113.680563,133,3398.375967
97.745563,120,3411.904741
117.880563,189,3432.311903
81.615563,92,3444.079882
153.155563,372,3477.568278
172.420455,450,3519.695236
72.675563,82,3532.337071
-40.826195,450,3573.955986
78.430281,450,3610.335459
60.605563,64,3620.843425
124.165563,208,3641.044967
87.265563,92,3653.920565
62.120281,450,3694.241139
138.365563,204,3713.771348
56.243354,450,3750.245816
44.810563,125,3765.255316
-81.845748,450,3804.575558
86.860563,159,3823.340691
231.535563,412,3858.999223
140.815563,240,3881.618179
84.315563,80,3895.529793
55.805563,76,3907.045177
137.608223,450,3944.540936
-17.609545,450,3981.230582
88.815563,294,4009.674147
168.633354,450,4046.533041
-97.081562,450,4083.584513
116.875563,150,4101.528295
143.075563,214,4125.891766
62.955563,38,4136.563185
130.830281,450,4173.244586
190.150281,450,4208.295254
105.420563,217,4228.148872
121.135563,156,4246.278723
-71.639719,450,4280.328249
87.240563,317,4309.957284
83.230563,219,4334.310068
-30.021195,450,4374.893453
47.378805,450,4415.956847
170.315455,450,4457.067707
172.263354,450,4494.133281
-85.659719,450,4530.453097
-29.754545,450,4568.284383
148.363354,450,4605.682864
-8.171777,450,4645.178606
159.155563,264,4671.514188
168.955455,450,4706.220862
-8.579437,367,4735.927987
81.180563,69,4747.345405
67.653354,450,4785.800439
206.005455,450,4829.24727
111.000455,450,4869.367275
82.690563,75,4882.059592
60.765563,54,4891.484603
98.175563,140,4906.800175
69.805563,48,4917.29721
72.210563,109,4931.256927
205.713354,450,4970.494085
78.070563,77,4981.558459
22.033354,450,5016.067252
219.105563,446,5055.166859
177.335455,450,5090.50606
128.425563,192,5108.522673
-54.659719,450,5145.731168
195.545455,450,5181.10132
128.870563,265,5206.68566
77.205563,68,5216.911701
47.338842,450,5259.121642
186.390455,450,5297.254696
200.783354,450,5326.607158
225.910563,381,5361.992733
229.215563,416,5394.298645
58.535563,64,5405.72079
-92.761777,450,5440.877268
64.805563,36,5450.646154
69.480563,221,5470.500681
62.555563,46,5480.188336
196.905455,450,5517.450274
-92.079719,450,5558.918613
-92.204719,450,5598.786761
