#{"t_start": 1764945518.4056776, "env_id": "None"}
r,l,t
-11.388801,141,10.978106
-4.922534,484,27.469148
8.534346,664,46.825056
-8.875402,234,55.644581
-7.962831,228,65.052916
-4.937519,475,79.242683
-3.954639,530,95.709644
-4.860281,272,104.329629
-6.45874,312,115.848433
-1.478237,585,131.476195
-5.055892,212,140.373156
-4.677047,487,155.742006
4.565419,700,176.362978
3.825502,700,191.449421
-6.8803,179,198.742647
7.109735,700,221.182857
-6.823993,220,230.106215
-5.360847,381,241.633033
-7.835744,313,254.017514
-9.561401,192,260.66267
-8.422796,271,269.451702
11.477591,700,288.96482
-9.935434,166,297.95757
-7.327405,235,309.062555
-5.955012,402,321.208846
-5.140887,275,330.661097
-5.501845,275,340.72082
6.705029,700,356.985813
-9.525621,226,366.083644
-6.277674,359,377.743145
7.530387,651,393.680749
-4.66416,480,406.755522
-9.607755,160,416.161424
-6.994115,313,427.122331
-7.507068,304,438.641178
-7.407905,320,449.834853
4.205325,603,467.003111
-6.34924,375,477.937908
-11.300547,111,486.092903
-6.017511,458,496.989029
-6.414393,353,508.815083
-7.715069,261,518.857977
-10.975628,123,525.778171
-9.761289,236,536.785193
5.905294,700,554.69476
-6.64679,310,564.445811
-10.507768,192,572.598132
-8.855889,254,581.336397
-9.328102,254,590.672907
-5.188358,270,602.652908
-2.575372,496,617.914361
-3.231284,316,630.842268
-6.062735,385,644.446411
-7.707253,153,654.85828
-8.681607,278,666.046955
