#{"t_start": 1764011208.8368778, "env_id": "None"}
r,l,t
1.440244,453,49.215285
1.050329,500,107.118831
-2.130859,500,162.616689
-0.217186,500,213.569538
-0.834721,500,269.731575
-3.097488,500,324.17403
1.136795,500,377.039783
-0.695096,500,430.672833
2.277095,500,478.142339
0.695696,500,525.53747
-0.943855,500,573.596425
-0.996293,500,618.667294
1.086502,500,671.054683
-1.32532,500,727.4906
2.982113,500,783.914971
-2.335433,500,840.724719
3.412072,494,900.587252
1.247785,500,953.643385
2.207573,500,1007.486563
0.223823,500,1065.223325
-0.172853,500,1116.561647
0.238568,500,1164.552486
-2.452354,500,1221.824145
1.630114,488,1274.975599
-2.274803,500,1327.305278
2.756765,500,1371.82094
0.910344,500,1429.19472
-0.216641,500,1477.997965
-1.454989,500,1531.926206
-0.407264,500,1576.501119
0.28971,500,1627.737133
-2.944869,500,1680.663743
2.039887,486,1726.35649
0.57008,500,1770.735981
-1.055802,500,1821.313058
0.82788,500,1869.631843
0.474264,500,1913.153311
0.781217,500,1959.982503
-0.770547,500,2005.004538
1.601493,500,2053.437099
1.768024,500,2100.246374
3.201575,500,2158.445224
-0.575202,500,2204.99057
-1.604131,500,2260.00102
2.422687,500,2312.018167
0.170993,500,2367.106269
4.165336,500,2418.975162
4.397729,371,2462.594208
-2.517136,500,2522.070212
0.717923,500,2577.732443
-2.503771,500,2633.87775
0.552129,500,2685.395646
-1.179874,500,2736.545588
0.002763,500,2792.44665
3.274286,500,2848.541735
-0.234926,500,2904.986568
0.093887,500,2958.543416
-1.623959,500,3017.311158
1.118837,500,3072.053359
-0.107232,500,3125.146781
0.063449,500,3178.380524
-0.476776,500,3230.584925
0.996618,340,3265.735523
3.721451,500,3325.120669
3.469992,251,3353.884765
4.521616,394,3393.909052
-0.469638,500,3447.045565
1.738618,500,3497.52976
0.201518,500,3550.446173
-0.84543,500,3602.804091
4.975398,461,3648.185073
-1.44,500,3700.955574
-1.379297,500,3751.861799
0.815943,500,3799.752719
0.774995,500,3855.313725
-2.574327,500,3909.824018
1.450057,500,3959.154768
6.001366,414,4000.980019
0.813244,500,4048.252143
0.687519,500,4097.072852
-0.998959,500,4150.732465
-1.169219,500,4195.420274
0.036084,500,4248.526827
1.707917,500,4298.824716
2.902908,500,4342.177406
1.011815,500,4391.450131
-1.33787,500,4440.780173
1.292025,500,4490.410949
-1.763784,500,4539.186937
1.377519,500,4591.511733
1.236858,500,4639.031109
0.56937,500,4694.31387
6.446272,458,4741.922393
0.068389,500,4793.526494
1.288225,500,4841.184975
0.226885,500,4891.352857
-0.030464,500,4941.3303
-0.113519,500,4988.698659
1.106569,500,5042.008934
1.029893,362,5080.167413
-1.036235,500,5132.546972
0.773206,500,5183.187274
1.401403,500,5231.453918
1.573198,500,5276.816757
