episode,captured,total_reward,length
1,0,0,0
2,0,-1.836282,660
3,0,1.648706,643
4,0,-1.808679,669
5,0,1.271186,700
6,1,-2.658161,700
7,0,8.562293,522
8,0,-4.524392,594
9,1,-1.47147,700
10,0,7.570059,522
11,0,-1.054184,613
12,0,-0.996157,678
13,1,-3.28917,700
14,1,8.006019,492
15,0,10.084177,435
16,0,-3.085077,700
17,0,-2.359097,700
18,0,-0.43999,586
19,0,-3.883364,700
20,0,-3.878419,700
21,0,-1.410089,700
22,0,-1.951685,700
23,0,1.245572,631
24,0,-3.967491,700
25,0,6.662849,357
26,0,-2.194319,700
27,0,-1.146288,682
28,0,-2.837365,700
29,1,-1.734612,700
30,0,11.488722,296
31,0,-3.297065,700
32,0,2.907839,700
33,0,0.287935,684
34,0,-4.30303,689
35,1,-4.575153,700
36,0,9.378146,424
37,0,0.063153,662
38,0,-4.789253,630
39,1,7.110316,396
40,0,8.438246,518
41,0,3.818108,700
42,0,-1.109213,700
43,0,-2.816635,579
44,1,-6.780655,611
45,0,9.324517,464
46,1,3.278225,700
47,1,9.606163,508
48,1,9.100869,447
49,0,6.94085,651
50,1,2.111187,700
51,0,10.331691,240
52,1,-5.276655,700
53,1,8.010817,576
54,0,8.939351,492
55,0,-3.374913,700
56,1,-1.059572,700
57,1,9.512279,458
58,1,5.823861,621
59,1,6.125617,593
60,0,10.380073,282
61,0,-1.649117,700
62,1,5.671193,460
63,1,8.890202,472
64,0,10.533255,350
65,0,5.739875,442
66,1,-0.289358,700
67,0,8.292186,614
68,0,-0.489966,676
69,0,-5.015013,700
70,1,4.840402,576
71,0,8.340013,592
72,1,7.097206,335
73,1,9.563919,359
74,0,7.829351,529
75,1,1.731717,700
76,1,8.956686,438
77,1,10.782351,316
78,0,9.262824,510
79,1,1.129191,700
80,0,9.502999,358
81,0,-4.652333,694
82,1,-1.093135,700
83,1,9.389804,437
84,1,11.195104,306
85,0,10.243137,340
86,1,-8.420205,700
87,1,6.584109,511
88,1,10.806585,194
89,0,11.850383,152
90,1,0.390152,538
91,1,10.959831,34
92,0,10.029654,340
93,0,-1.942435,425
94,1,-0.826826,448
95,1,2.518266,499
96,1,12.795391,145
97,1,13.27895,66
98,0,12.11641,196
99,0,3.572311,298
100,1,3.899957,443
101,1,10.131666,49
102,1,6.409315,445
103,1,12.739332,98
104,0,11.714625,102
105,1,6.569698,90
106,0,6.694258,512
107,1,0.380296,613
108,1,10.86033,343
109,0,10.770314,176
110,0,-2.256447,685
111,0,-1.850471,700
112,1,-4.544695,700
113,1,7.333552,447
114,1,13.0849,119
115,0,10.974667,117
116,1,-2.474053,667
117,1,11.461868,144
118,1,10.888409,269
119,0,9.01622,454
120,0,1.520566,700
121,1,-1.099059,700
122,0,10.474414,348
123,0,6.915439,444
124,1,-5.169352,700
125,0,10.592956,371
126,1,-3.656533,664
127,0,7.620702,642
128,1,0.655592,540
129,0,9.826785,414
130,0,2.922143,700
131,0,3.122663,700
132,1,1.847569,536
133,0,10.272837,303
134,0,-5.913204,692
135,0,-0.595255,700
136,0,1.595041,542
137,0,-1.794984,700
138,1,1.176414,700
139,1,8.687887,289
140,0,9.117749,432
141,1,-2.218683,700
142,1,10.939197,304
143,0,4.936053,686
144,1,-4.605395,700
145,1,7.236997,673
146,0,10.109716,234
147,1,4.787827,562
148,1,8.181762,527
149,0,7.593568,605
150,0,6.206211,447
151,1,0.401581,581
152,0,11.540752,284
153,1,-3.613814,605
154,0,8.316743,444
155,1,4.503376,552
156,1,9.814573,309
157,1,8.505038,529
158,1,10.332388,205
159,0,7.32419,668
160,0,-2.885457,700
161,0,-0.795674,700
162,1,2.788486,700
163,1,8.143982,484
164,1,6.038729,681
165,0,7.927033,634
166,1,-0.39154,700
167,0,10.214082,386
168,0,0.442624,700
169,0,2.395111,690
170,0,-0.562411,700
171,0,3.149257,700
172,0,-2.09958,578
173,0,1.240071,700
174,1,1.615331,695
175,1,8.903302,596
176,1,10.672873,329
177,0,10.297957,293
178,0,7.890873,352
179,0,0.332502,700
180,0,1.094229,548
181,1,-3.003919,700
182,1,8.139714,629
